upid,LB_BATCH_mu=1.78_S,GLC_BATCH_mu=0.67_S,LB_BATCH_mu=2.3_S,GLC_BATCH_mu=1.03_S
P00811,15.50,11.56,19.97,11.23
P0AAZ4,16.13,9.89,21.42,19.42
P77399,13.38,7.14,15.49,9.66
P50456,18.14,39.77,58.69,26.03
Q46927,18.14,10.83,42.73,20.38
P28306,11.49,7.42,15.38,11.61
P05707,57.09,9.06,15.17,2.18
P0ACN7,22.96,6.21,20.48,5.57
P0AE72,20.90,10.76,26.49,12.87
P37685,7.69,0.14,0.24,13.07
P0A6W3,8.48,6.47,21.45,21.48
P33650,29.49,8.30,63.59,32.13
P0A8P8,17.98,10.50,34.75,28.56
P0AD37,81.80,8.73,83.67,18.40
P0A6H8,9.03,6.54,9.60,5.24
P25740,6.15,6.45,26.68,11.61
P76297,49.98,22.79,66.22,48.30
P00936,3.66,2.39,7.82,11.08
P23930,2.17,1.63,8.28,11.17
P39356,8.68,6.29,15.56,14.10
P0AD44,10.05,7.33,13.13,8.65
P30864,5.77,7.36,6.70,6.84
P30870,3.25,4.99,5.30,15.27
P76339,1.73,3.45,2.66,9.50
P0A6E9,15.06,2.78,16.80,7.98
P39405,0.18,5.46,1.75,19.89
P26608,170.83,148.51,162.64,189.31
P77433,114.06,4.99,35.31,5.69
Q47622,18.78,9.42,23.51,13.26
P0AGI1,32.76,4.62,275.70,102.21
P27837,1.95,4.57,10.35,14.76
P21345,13.20,4.85,23.39,9.23
P0A915,89.39,9.64,31.19,5.06
P05523,19.75,5.34,16.46,12.10
P31119,11.13,4.90,11.02,9.84
P75933,360.43,123.87,309.86,186.50
P0ACE0,41.32,4.79,39.76,4.50
P0A8G0,3.87,4.05,3.59,4.32
P08201,7.08,3.99,15.67,5.77
P23367,2.01,2.62,12.73,16.12
P75745,3.07,3.98,6.76,6.06
P0AD68,5.57,1.85,11.48,7.37
P52627,304.52,343.43,302.96,211.10
P13959,0.02,0.02,245.75,221.91
P0ACK8,44.80,5.91,19.51,11.21
P25552,0.20,2.17,4.38,4.53
P23524,38.21,5.81,23.61,2.08
P31545,2.57,6.97,7.06,7.07
P24230,4.42,1.53,10.38,10.78
P0A8T5,26.32,18.66,80.59,14.83
P77181,9.36,2.13,3.15,1.86
P0ABX2,242.79,115.15,223.04,113.87
P31441,22.05,1.92,27.23,5.70
P27129,5.52,3.33,12.30,10.46
P51025,4.74,2.30,10.41,2.65
P0A6L7,28.82,1.35,21.30,5.09
P37387,16.35,3.77,7.49,6.18
P0AER5,0.13,1.30,1.95,28.50
P0AFR2,18.09,1.24,38.76,8.50
P23200,20.50,0.49,13.69,1.82
P75906,0.20,6.61,0.28,2.68
P18355,1.39,3.51,116.71,74.01
P0ACU5,12.25,14.90,12.25,12.59
P76097,1.36,0.85,0.15,0.40
P56580,68.10,0.36,19.63,1.13
P0AEL0,3.62,0.84,21.56,0.12
P0AEP9,1.94,0.07,0.11,0.26
P52614,12.92,0.01,10.69,5.28
P0ADB7,2223.86,6180.91,542.68,2073.84
P0ADA7,583.69,1119.06,398.90,721.87
P33014,627.88,4791.56,50.50,2551.94
P0A937,1902.82,1864.75,1947.95,1679.77
C9M2Y6,4545.22,2240.87,4504.89,2207.24
P64503,5.35,85.73,0.18,9.05
P0C0L9,1084.46,636.91,1833.66,1175.76
P0A898,889.80,608.06,818.06,575.50
P0AA31,206.14,375.51,198.01,653.51
P0A6D0,675.20,574.17,839.81,785.50
P0AES9,266.30,126.33,10.67,121.81
P0A7Q6,11005.17,837.55,4066.45,405.63
P64476,31.90,112.34,17.06,50.09
