upid,LB_BATCH_mu=1.78_S,GLC_BATCH_mu=0.67_S,LB_BATCH_mu=2.3_S,GLC_BATCH_mu=1.03_S
P0A8M3,1255.63,812.23,1838.35,1251.28
P26616,1000.32,489.85,963.28,511.05
P00452,950.29,414.39,1338.99,807.89
P0A9B2,46841.52,43004.95,37552.80,44045.36
P0A7Z4,26710.33,16895.68,29905.94,23003.72
P60422,29298.20,12263.63,51838.10,23936.29
P0A9P0,23261.82,12054.72,31709.35,15126.14
P0ABH7,13799.53,7820.91,11037.90,18265.83
P17169,4471.25,4042.33,4371.34,4281.42
P0A8N3,3789.94,2272.21,4051.19,2882.11
P33602,2849.06,1089.59,3746.23,1307.80
P23538,2106.01,837.22,2259.23,2236.35
P0ABH9,564.86,382.64,615.99,441.52
P06612,602.07,245.51,682.00,390.61
P32176,1566.63,126.13,1976.93,141.75
P61889,86227.97,45044.31,34219.21,50317.87
P0AD96,567.73,25126.45,493.14,16447.86
P00509,3585.72,7537.61,4300.02,9499.81
P0A7D4,9528.83,6846.75,9909.53,6766.36
P0A8M0,5293.90,4726.30,5701.22,5938.37
P32132,3319.01,2934.83,4677.83,3819.44
P0AB89,935.36,1802.44,1245.79,2471.23
P35340,3624.36,1871.64,3322.83,2138.17
P24182,4822.90,2214.87,6113.95,2990.45
P00962,1405.43,1309.29,1545.48,1456.74
P11875,1011.75,770.96,1509.57,982.13
P0A9P6,1162.84,421.95,2707.81,874.27
P17315,141.30,489.74,196.14,789.12
P04949,82244.54,34899.63,52509.61,29095.20
P33195,1533.84,272.76,742.16,555.00
P0A953,8671.83,4556.85,9826.21,5522.94
P0A6B7,13975.28,10684.04,14012.32,15282.24
P0A836,18968.65,7068.41,16638.88,13276.62
P27302,5321.00,3633.46,6502.52,4998.19
P08997,1150.76,2741.42,363.82,322.49
P0A8L1,5192.44,2366.95,5710.11,3317.64
P09151,88.70,1314.92,101.50,2035.25
P0AEE5,18836.24,939.56,6883.49,1786.21
P0AGD7,1348.50,816.16,1616.90,1068.83
P06971,317.72,785.25,713.99,1236.32
P31554,646.73,456.34,679.73,468.55
P38054,61.82,202.13,56.72,915.19
P60240,310.09,77.22,388.97,95.43
P13036,601.33,22.96,1440.57,49.26
P0ABK5,12970.18,65474.67,6295.58,62493.90
P0A6P9,37963.86,35656.22,45097.61,45654.61
P0A9G6,11405.99,15369.43,1780.34,1525.82
P00934,3759.03,13676.34,1414.12,14285.97
P0ADG7,3974.04,10845.88,6135.31,10429.73
P02930,5302.97,3968.39,6312.75,4147.45
P04805,4317.43,2889.50,4545.62,3158.30
P0ABP8,17475.08,2656.07,23768.81,3348.11
P0A6H1,4225.89,2504.03,3947.36,3096.65
P0A6K6,9560.13,2150.63,11803.45,2335.47
P77804,1575.07,840.77,1792.98,933.50
P05459,897.17,1068.07,1094.18,1020.96
P07650,2642.36,404.68,2137.37,328.00
P37330,2486.02,187.88,278.25,181.49
P0A7V0,59525.70,33317.43,77249.33,48352.41
P0A7L0,65669.70,31336.66,87860.09,45906.17
P0AE06,3670.36,2241.53,5852.90,2823.62
P23845,104.18,870.42,58.07,2010.58
P0A6H5,2928.99,882.62,3011.05,1598.62
P06129,684.52,684.64,1165.52,1094.28
P31979,2030.88,401.73,2174.29,794.95
P0AB71,20325.50,17922.71,19690.73,17954.86
P0A870,12774.83,9247.45,10560.75,7508.22
P0AFG6,13477.20,4782.54,18246.91,10512.87
P0C0V0,1781.50,1927.07,1674.33,4386.66
P37689,1639.32,2405.33,1598.23,1698.43
P11447,581.77,2553.54,467.55,3792.31
P0A903,2617.96,1778.41,3059.19,2632.16
P0AC53,1529.43,1352.28,1354.43,1429.90
P36938,1528.53,1050.22,1600.49,1328.76
P0AEI1,1665.09,1030.29,2471.86,1658.57
P23865,492.21,486.65,486.53,590.14
P21179,93.94,132.21,32.43,40.33
P46837,369.89,244.94,616.76,532.88
P33363,323.37,206.15,346.68,322.32
P0A7A7,186.02,109.12,315.37,195.28
P62399,65896.22,33549.55,93410.99,46424.28
P0AGE9,21675.77,6765.45,17426.46,13031.92
P0AEK4,8557.97,5999.21,10827.08,7116.15
P08660,368.26,2982.25,483.27,7541.56
P67910,4862.41,3263.23,5930.88,3299.14
P09832,300.23,3613.13,266.75,2788.80
P0ABD5,4926.61,3070.76,5711.49,4453.71
P07014,9288.61,2349.51,7679.50,3890.12
P0AEX9,9362.57,2059.31,555.72,491.12
P0ABZ6,2325.81,1532.60,2129.08,1393.08
P37759,1805.43,866.51,51.79,64.11
P60785,1389.59,704.29,2011.10,1315.71
P00579,1798.25,667.64,2039.77,1095.73
P62620,1314.67,770.27,1302.84,941.14
P27550,1081.74,236.49,323.39,564.59
P09394,10390.66,539.42,2623.45,293.60
P11454,11.52,47.63,31.46,176.75
P02359,102200.04,65096.78,155427.49,85175.60
P06996,56742.99,20763.21,16890.18,5013.33
P02931,18617.34,25214.32,6000.32,12102.93
P23721,2525.28,18184.03,2487.17,17207.06
P09169,6114.07,13137.87,2601.95,5808.60
P0AEM9,3246.64,11047.16,3179.59,9200.61
P0A786,409.67,10551.53,243.78,734.12
P08312,3400.71,2244.46,3733.84,3318.85
P05020,656.67,4084.78,399.61,1522.09
P37095,3268.15,1974.32,3145.71,2712.23
Q59385,221.48,3009.29,212.62,4406.02
P0ABA6,2747.05,1843.07,3809.26,2423.03
P08142,172.64,985.47,101.84,969.16
P22259,9230.68,1442.02,5044.03,2100.33
P0C8J8,6053.75,771.06,202.21,371.19
P31120,2007.55,1020.66,2395.50,1314.60
P0A7I4,1311.16,905.33,1415.50,974.59
P22106,292.24,1078.09,244.73,1625.72
P25516,338.36,183.14,233.06,154.18
P31224,449.80,275.20,1104.10,507.98
P0ABQ2,4064.68,384.54,1365.11,364.63
P77748,76.78,258.12,116.10,493.13
P0AB77,2850.14,167.75,2012.32,170.76
P0A9C0,1526.72,86.84,280.19,35.30
P60438,34899.23,17531.26,46112.26,25464.54
P0A7V3,33612.22,11380.50,63600.67,33205.56
P0C8J6,15927.15,5029.12,372.26,273.40
P60757,249.05,2905.03,308.86,4982.82
P0A6A6,719.41,4175.18,484.25,5395.17
P0A9X4,4257.33,3752.07,4451.69,3702.27
P76116,1658.70,3504.46,2932.68,4394.21
P69786,628.90,1735.07,623.45,3691.92
P60906,2275.76,1761.78,3063.45,2338.96
Q46856,4759.53,1525.51,6856.88,1118.34
P0ABC7,1563.32,1022.10,1891.59,1786.84
P0A8N5,1466.14,506.06,1664.33,674.54
P45464,517.53,413.04,612.49,542.45
P24171,191.24,307.87,182.42,345.38
P08957,595.28,365.94,669.88,552.90
P06149,191.89,215.63,132.34,283.40
P00926,834.47,202.85,2421.84,225.59
P15042,460.93,195.45,589.62,291.69
P75780,300.84,214.83,381.42,408.23
P30958,47.62,34.46,63.62,73.65
P04983,75.89,38.23,635.03,263.64
P0A7V8,23936.47,12236.00,38545.34,21466.22
P69441,8342.39,5790.38,8983.71,5363.25
P0A858,4718.57,5152.04,4911.21,5855.51
P0AB91,1303.91,6517.06,866.94,5882.81
P16700,289.79,3514.64,392.30,4619.55
P18843,1631.70,3499.66,1629.22,2948.98
P37902,1311.61,3426.58,1230.53,8290.21
P04036,1688.74,3108.89,1858.29,5627.39
P15288,5269.49,2408.85,4281.08,2664.58
P15640,219.09,2034.26,259.56,2691.60
P12758,20521.46,1571.88,14517.30,1083.61
P21170,1042.78,904.49,1235.09,1552.32
P0ABJ1,2012.24,749.16,2783.98,1261.51
P0A6Z1,1567.57,835.27,2014.84,1340.13
P21165,1344.47,1101.13,1292.49,886.50
P0A749,1054.51,698.35,1311.55,1132.15
P15034,648.39,462.53,626.51,447.66
P02943,2048.25,300.69,129.93,146.16
P0AG90,503.94,225.32,1083.86,658.47
P05825,62.18,258.06,99.26,531.55
P21177,343.01,28.67,128.89,99.54
P0AE08,56033.43,51209.99,50783.33,46382.63
P0A6T5,1816.59,11676.83,1656.68,11708.22
P0A9Q9,2419.41,14909.93,1406.56,11539.55
P0A877,913.77,4478.87,633.28,7926.75
P0A879,607.50,3473.44,397.59,6246.45
P0AFG0,7724.34,4807.60,9304.26,5758.58
P0A6A3,13696.47,4092.29,18696.85,6030.56
P0AEZ1,315.53,3353.65,315.71,5856.78
P18335,193.31,3126.39,190.75,4300.98
P0AEZ3,3854.66,2460.38,3838.82,2848.72
P0AAI5,4474.05,2332.89,7062.48,3668.33
P37666,1347.83,2048.79,1124.75,1487.95
P07012,2552.53,1577.70,2281.76,1601.79
P0A7E1,341.95,1802.21,583.61,1278.79
P38489,1810.44,1526.59,1765.79,1523.11
P0AEB2,1750.85,1538.82,1891.33,1618.82
P0ADE8,2011.46,1461.70,1389.37,922.34
P76658,1571.67,1029.87,1709.69,1352.11
P0A6L0,6306.03,615.00,5072.43,600.59
P07023,211.87,614.69,162.87,2042.98
P08506,505.45,536.53,489.65,1021.40
P00895,83.70,581.22,104.84,1395.69
P0A887,1466.38,911.20,1508.61,886.41
P33136,928.72,793.50,717.94,600.19
P68767,837.20,641.83,1039.96,943.60
P18133,228.37,562.07,180.17,267.34
P21888,779.31,616.79,1087.11,930.25
P00893,56.18,594.44,60.57,622.07
P0A9U3,596.25,310.39,930.85,608.51
P27306,1624.51,366.37,1472.19,423.89
P77718,317.69,191.67,698.66,401.79
P00490,275.41,217.30,61.03,69.94
P0AC38,4007.00,131.52,4130.82,225.72
P0A7W1,47669.68,20963.75,57876.00,30830.91
P0AG55,41839.67,20685.15,54694.28,29551.81
P0A9D8,6221.76,11858.47,6494.92,20020.39
P0AEU0,2636.39,11693.04,3102.43,21948.51
P0A707,17046.86,10839.29,17985.30,11288.73
P0A7D7,896.45,9026.37,776.55,9005.14
P0A717,7279.70,6185.18,10212.67,8396.15
P09372,12475.03,5036.60,10826.88,6324.54
P02925,18417.14,3235.50,79501.15,21225.71
P23836,2719.58,2944.67,2861.02,3063.27
P06987,531.16,2452.72,730.76,4509.37
P76177,1886.87,2290.30,1950.24,2714.09
P07001,742.50,2951.26,802.94,4036.95
P23908,228.94,1978.92,264.26,2508.55
P0A6Y5,4454.10,1739.64,4456.77,2628.53
P0ACJ8,2865.35,1967.51,2370.86,1762.33
P10121,1601.55,1020.62,1769.27,1181.06
P0AFK0,1342.53,787.97,1148.39,971.22
P0A796,798.77,907.86,725.81,902.10
P00946,1448.99,850.67,1261.50,909.46
P0AG16,58.99,570.21,92.17,1171.43
P75691,101.83,188.46,65.24,109.18
P0A7B5,565.96,517.91,535.83,909.03
P0A8J8,632.92,463.92,896.04,618.90
P0AB24,389.79,757.54,436.36,523.09
P25526,504.26,114.08,92.34,103.72
P06715,429.79,407.07,486.77,326.98
P00562,94.81,220.10,167.15,435.62
P05042,888.93,377.69,440.12,379.65
P0AEJ2,81.18,264.48,163.67,380.04
P0A6P5,262.35,184.20,583.10,356.78
P04968,71.72,186.03,207.79,1259.42
P43672,357.13,124.31,399.72,231.61
P21499,140.37,75.42,236.77,168.66
P07018,715.51,384.63,1062.67,1016.46
P0A6J5,1630.33,47.83,997.11,110.80
P28635,3963.24,29248.96,5290.82,39552.59
P0A8F0,10232.22,19909.96,14385.62,10199.26
P0A8M6,13872.63,22047.26,18669.25,24544.04
P62707,13267.71,10906.54,14284.55,12327.15
P0A6F1,1185.73,9270.24,1271.37,6387.59
P0ABS1,19076.33,5979.36,16748.41,8249.52
P0AEQ3,7835.34,4873.00,2741.40,5746.94
P25524,687.88,3334.03,542.85,1518.87
P0AB67,769.57,1993.99,920.71,4862.83
P04816,285.11,3564.35,269.34,2748.37
P0ABU2,5647.53,3221.31,5977.04,3630.88
P0AC02,2168.81,1976.81,1983.88,1757.79
P33221,134.00,1512.84,104.10,1966.55
P0AEE1,2680.03,1525.30,2792.51,1595.61
P0A855,859.53,1142.16,1045.83,1445.86
P0A9J8,176.61,415.79,150.10,515.63
P21599,2358.89,1302.91,1674.01,1359.04
P21156,126.07,978.06,143.07,1411.04
P0A9C3,2007.73,853.82,2065.03,1070.09
P0ABC3,1263.50,843.55,1497.36,1196.00
P0A847,846.92,1010.35,1077.40,733.46
P00393,931.85,498.12,1184.44,846.51
P27248,3606.28,612.79,1245.50,826.01
P09147,1487.61,529.11,1359.85,662.36
P39099,557.09,589.17,563.23,660.31
P09127,748.52,403.38,806.45,559.40
P22188,513.64,377.56,688.76,666.90
P0ACC7,788.93,476.38,1243.98,717.15
P60716,2427.63,506.66,2259.04,564.75
P0A6W9,412.41,322.12,457.41,413.10
Q46829,416.17,337.80,305.93,277.94
P76403,550.60,345.60,966.46,426.62
P24215,980.37,276.56,881.46,391.34
P21507,426.22,194.14,866.05,497.20
P77488,473.36,197.94,467.44,280.53
P36979,423.78,186.09,706.73,329.28
P0AFI2,219.99,120.79,394.78,339.01
P0A6L4,11290.54,149.32,13137.84,226.68
P0A9H9,5924.46,3042.42,4362.83,3623.28
P06974,1202.31,676.44,1368.08,1125.57
P63389,112.37,40.54,187.67,108.44
P00363,417.37,36.93,184.25,44.26
P25798,325.04,215.09,448.15,407.25
P08956,71.41,11.69,67.12,29.49
P0A7J3,92729.19,39955.32,119899.02,54717.74
P02358,34794.48,18725.63,41969.67,22162.81
P0AF96,750.54,1001.97,585.86,674.87
P0A9T0,838.69,12112.68,546.09,8517.39
P0A6L2,4323.22,4311.70,4923.71,5926.56
P0ACA3,6681.04,4212.32,10451.14,6149.59
P0A9P4,4211.23,4046.92,5982.87,5214.53
P0ABT2,5748.50,2033.20,1894.13,511.27
P00954,3137.39,2870.34,3384.52,4441.45
P0AFK9,2825.58,2743.91,3129.50,2431.24
P0A6D7,4131.94,2950.26,6041.18,3880.39
P23893,2861.20,2373.99,3856.45,2947.93
P0A715,3153.95,2482.35,3085.23,2322.14
P0AGJ9,2750.67,2179.14,3829.07,3174.97
P77239,112.84,1640.47,122.73,3422.51
P17854,221.93,1654.06,257.52,2918.53
P00963,916.82,1426.17,413.91,2677.68
P08244,922.86,1561.35,964.64,1029.72
P0A7G6,2698.13,1448.67,2466.66,1779.45
P0A993,2364.56,1223.75,3924.35,2044.42
P40874,622.42,1020.04,721.01,1348.85
P31663,978.87,1324.20,1114.77,1416.71
P77774,1314.44,890.48,1528.08,1285.63
P11557,821.84,664.83,1431.20,1118.07
P0A867,139.32,286.07,65.22,94.18
P26646,779.46,524.15,461.73,562.74
P0ACP7,408.58,628.16,575.72,1142.07
P0AA16,1327.16,564.18,1162.86,706.84
P07004,545.91,518.09,496.35,651.20
P0A9F3,432.83,482.31,523.58,587.67
P0AEI4,594.87,383.29,904.33,539.36
P0A6J8,995.43,187.93,1075.46,211.33
P0ADR8,350.16,200.98,379.86,316.98
P33940,264.70,164.43,482.94,326.29
P23830,384.85,168.83,330.74,266.76
P0AE78,327.36,247.58,170.18,150.24
P09323,774.51,94.83,974.79,309.17
P04335,122.02,104.35,171.38,109.73
P33232,1149.35,120.95,1606.22,119.16
P21420,199.13,106.78,25756.06,19471.57
P0A698,80.57,44.14,171.84,71.12
P23909,111.89,41.30,212.83,122.70
P50466,431.93,46.36,545.38,81.72
P05704,218.88,52.43,144.65,82.54
P0A7K2,111011.59,52210.81,137269.43,65852.35
P0A7R1,79941.16,37716.73,97503.95,49369.87
P0A7S9,67851.75,35917.87,85312.39,38627.58
P00448,27084.02,23525.85,28664.88,17197.03
P0A8B5,10724.34,7312.68,13531.78,10298.32
P45578,3338.05,4374.35,4328.76,5059.44
P0A7X3,12695.10,6032.80,15519.83,7455.69
P0AEK2,9219.82,4103.46,9318.10,5461.88
P0AAB6,3919.39,3734.68,452.68,351.83
P30125,228.53,3580.75,230.52,4732.32
P0ABD3,659.81,558.01,227.62,340.01
P0AEP3,3261.65,2233.01,3214.63,2495.34
P31057,1414.28,2236.94,1227.32,2175.19
P00888,284.80,1152.71,306.74,4336.17
P45577,3718.44,2290.12,4602.30,2783.69
P0A6R0,3149.81,1621.16,3291.33,1740.58
P04693,746.97,1999.34,671.84,1959.87
P0A6D3,445.07,1966.97,503.19,2132.10
P69797,1462.90,1236.83,1276.55,1948.34
P76372,1864.56,1470.35,1848.82,1396.17
P16703,277.40,1401.35,258.03,1605.82
P46130,1364.31,1160.08,1573.82,1463.78
P0AF08,2168.34,1317.85,2481.10,1399.80
P0AE18,1426.76,1282.65,1597.33,1132.37
P00904,52.24,630.13,57.69,1677.69
P60560,713.14,848.34,851.83,655.62
P75913,1170.63,1222.22,1031.47,1215.21
P23839,624.91,538.07,672.68,558.85
P09424,685.67,392.89,405.39,263.50
P16676,37.29,433.63,43.34,1234.01
P0AG14,370.56,448.81,390.71,569.80
P25522,363.25,367.37,427.94,454.25
P17952,525.46,348.02,729.26,587.01
P76268,653.72,416.47,670.41,571.71
P0A6V8,530.03,392.64,350.84,468.54
P69924,451.71,343.12,511.71,344.62
P22256,456.57,116.39,43.97,92.03
P00550,561.13,233.70,367.91,351.47
P0ABF6,3921.46,267.63,3386.32,203.76
P25519,373.69,231.98,450.70,485.20
P0A9K7,355.64,254.91,525.13,294.50
P37440,2090.97,267.94,1188.40,301.14
P0ACB0,236.39,180.04,258.50,213.24
P0AA39,217.17,136.59,180.97,111.96
P30744,2781.33,119.15,4291.22,107.61
P08331,523.52,111.40,288.23,121.79
P33235,422.77,323.11,341.46,471.15
P75864,119.38,42.98,238.66,117.82
P14175,1495.11,37.75,788.00,23.73
P69783,25767.43,30867.45,23748.07,32203.44
P0ACF8,38186.29,20993.53,41308.74,30497.03
P0A7W7,41458.10,17786.52,49099.66,25275.18
P0A7J7,34147.31,19411.27,38773.94,21815.27
P0A7A9,13172.67,10864.33,11977.46,9839.22
P0ADY3,14865.26,7473.78,20969.22,10125.41
P0AE52,5279.77,6572.88,5259.70,6789.79
P45523,9923.64,5624.32,12175.09,10051.21
P0ACJ0,2414.80,5582.85,2270.78,5925.87
P0ADN2,5025.95,4990.89,5722.49,4914.27
P63224,4125.48,2576.00,2900.14,2710.24
P0A9Q1,3937.10,2326.81,3715.05,2727.17
P37051,981.49,1735.44,1291.73,2185.84
P0AFM6,1134.48,1355.11,1305.10,1883.48
P30859,1516.62,1343.42,1233.55,1808.56
P0A7G2,2538.90,1545.90,2982.19,1661.02
P06721,112.40,1146.98,125.81,1093.35
P52697,1098.28,775.89,979.26,756.99
P0A9Q5,2245.24,1488.07,2578.21,2073.01
P0A8K1,1295.12,980.73,1635.90,1326.09
P0ADE6,248.55,535.67,161.58,285.34
P76316,520.07,1337.43,578.59,1233.18
P0A9W9,908.81,1166.29,930.12,1341.02
P33920,1264.75,1016.46,1189.91,1103.03
P0A9K3,1277.47,787.37,1135.80,769.37
P16456,1295.51,699.24,1029.95,560.03
P0AEG6,809.13,733.87,922.14,881.27
P37744,1200.55,688.01,111.05,107.35
P09030,742.74,576.82,757.33,597.20
P33570,57.38,201.08,101.32,70.38
P76015,705.59,300.28,488.26,262.90
P25437,1220.60,549.29,2396.65,838.79
P60390,409.09,332.70,456.07,462.59
P08192,500.22,341.22,531.28,330.10
P0A6C5,28.21,249.52,27.70,579.88
Q57261,341.84,268.10,510.42,387.90
P0A6I3,436.78,278.27,499.21,322.58
P0AG82,224.21,261.91,373.27,179.67
P0ACQ4,302.74,266.19,374.36,282.96
P22333,2126.86,262.04,2101.60,209.39
P0ACY3,11.47,58.29,6.55,40.48
P30871,236.82,177.53,277.34,350.84
P0AE12,118.66,147.16,152.28,161.15
P0A964,15537.14,12247.96,14744.10,16221.22
P0ABZ1,1733.67,1111.46,1690.70,1987.37
P05458,63.69,73.46,73.53,117.23
P03004,127.86,83.36,206.67,169.63
P28904,543.49,21.95,367.88,34.40
P77581,130.07,16.18,16.48,21.31
P13033,1237.78,62.43,159.24,36.77
P52612,124.55,64.72,201.46,216.01
P60624,108073.55,54811.29,142641.38,71612.03
P0A7R5,85249.82,41690.24,103231.55,53878.53
P0A9K9,36366.16,24109.74,37420.99,31382.71
P60723,44865.32,19216.26,52638.52,28662.26
P68919,38254.25,22536.07,47244.38,26462.24
P0A912,23065.69,21359.59,27966.02,25868.48
P30860,908.69,8938.00,940.02,12851.93
P0A8E7,8248.67,7524.87,7735.56,7039.05
P0ABA4,8153.14,5298.85,9881.93,6844.59
P0ACG1,2701.42,11813.29,3841.99,5369.97
P0A805,7015.46,4527.36,8951.36,5061.66
P0A8P3,5772.06,4877.15,6147.66,5730.04
P0ADW3,5365.50,4451.21,5906.06,4167.40
P0AEG4,3769.05,3799.07,3726.41,4701.51
P09551,914.31,3084.76,896.72,2869.80
P0A6W5,5523.13,3059.15,5410.17,3593.46
P0AB80,793.72,2201.99,1632.64,11240.21
P69407,2623.18,1971.89,2439.25,2549.80
P0AEZ9,1691.48,1781.53,1176.61,1107.76
P06986,122.78,1387.32,206.07,2364.92
P0A991,389.47,701.38,275.46,456.01
P0A7Z0,1565.32,1332.97,1646.58,1131.10
P24186,961.19,1639.37,930.81,1403.80
P0A7F6,1379.64,1479.83,1105.65,1568.84
P77211,249.01,1294.59,287.07,1954.37
P11446,89.44,1351.86,55.18,1492.31
P0A9M2,2601.65,1231.67,2622.38,1328.17
P0ADG4,2062.08,1208.14,3328.87,1340.74
P0ADV7,1701.93,1306.32,1535.38,925.28
P17993,1364.11,1038.75,1040.83,1132.19
P0AF28,1226.34,787.59,1363.19,808.98
P04425,1006.24,987.35,1127.25,980.90
P64604,1461.79,853.97,1364.26,932.83
P00909,46.01,620.13,101.04,1176.67
P0AFD1,4337.71,932.23,5493.88,1276.53
P30750,372.74,962.23,696.31,2784.65
P08622,1461.12,748.30,1508.92,1038.79
P29217,653.51,636.53,486.29,545.06
P31142,1959.49,241.67,1050.62,235.75
P23882,996.17,585.56,1440.60,756.04
P04951,822.60,663.13,796.98,659.37
P0ACA7,287.33,535.69,154.94,378.93
P05194,204.02,484.47,222.93,725.18
P37747,828.17,521.95,83.65,48.90
P12008,274.63,669.05,351.24,754.92
P36767,614.94,477.68,680.90,476.39
P0A8Y5,569.73,539.45,676.63,580.89
P63177,531.71,380.64,1019.12,811.36
P0ACB2,896.29,469.67,1089.81,454.06
P76536,878.26,439.34,761.09,579.19
P39172,390.58,372.43,526.61,377.18
P0A6T3,1821.08,423.12,1693.67,550.67
P67087,467.28,415.31,725.00,665.25
P77247,545.52,393.12,706.76,601.00
P0A7J0,1588.99,582.38,805.64,330.42
P61320,263.89,270.18,228.12,269.95
P0AF18,615.70,265.58,705.31,349.68
P24255,330.88,252.22,318.18,307.94
P0A9J6,605.74,96.09,2111.88,493.47
P0A9J0,148.74,189.10,169.13,220.73
P36929,453.42,178.78,567.09,214.34
P60752,227.84,82.87,256.27,192.01
P60340,289.22,130.79,419.47,189.57
P0A7I0,474.03,157.63,388.38,228.83
P24232,244.87,92.30,195.29,165.71
P14081,56.82,77.28,83.31,114.16
P0A8G3,166.15,72.73,153.88,129.63
P76010,1034.13,734.28,957.61,1192.68
P52647,96.52,37.95,148.38,66.17
P0ABF1,53.44,46.87,152.96,107.96
P77737,81.64,262.94,24.37,45.73
P05719,76.15,52.59,124.33,104.63
P61175,116027.26,53034.58,143531.28,78777.63
P0A917,24241.33,20496.57,30557.00,17440.88
P0AG44,40710.86,18702.85,60603.38,26653.15
P0A905,19205.39,13062.25,17351.10,12219.58
P0A6E6,14574.98,8897.63,18288.40,11430.28
P0AFH8,1382.83,2602.49,811.85,651.31
P0A6C8,76.76,5282.93,165.42,7072.51
P06988,617.10,2941.23,551.59,4214.56
P0AAX8,2493.61,3432.83,3474.21,3237.91
P0A8G6,496.58,745.64,201.42,490.89
P63020,5620.23,3380.67,5665.90,4560.29
P0A6N8,4182.26,3227.22,4574.25,3693.43
P07623,199.67,2117.13,184.52,1642.54
P0AFL3,1965.16,1565.73,2654.42,3051.43
P10371,408.52,1674.40,584.65,3709.17
P0A8X2,534.61,1375.32,728.45,2573.02
P08178,190.99,2001.47,205.02,3026.81
P04846,138.93,1567.78,196.99,1540.64
P45955,2079.02,1779.26,2535.23,2409.87
P62768,1415.51,1165.32,793.31,989.70
P31133,246.97,1371.74,235.93,1712.20
P0A9V1,1956.63,1407.10,2148.85,1796.49
P60664,249.12,1302.93,358.42,2130.45
P00894,112.28,1338.27,104.84,1357.30
P0AA43,1141.37,1199.31,912.08,842.41
P30178,222.40,1057.52,214.29,700.09
P0ABU5,2630.81,1255.64,2348.03,1267.80
P0AGJ5,1180.59,866.42,1492.04,1232.83
P0ADS6,843.76,654.62,627.23,380.59
P0A6K3,1855.10,839.21,3787.37,1816.18
P0AG78,58.58,637.51,59.32,520.51
P0ACZ8,61.52,600.15,49.07,1238.06
P0A6L9,940.84,608.62,1195.20,1038.33
P00861,52.90,901.21,121.26,1175.00
P06999,99.95,97.62,93.58,138.03
P0ACB7,258.95,522.17,366.04,241.26
P0A7X6,1342.88,633.67,1761.28,902.84
P30177,630.36,657.77,669.85,511.14
P25745,753.32,588.73,851.70,647.80
P0A8E1,718.98,588.53,614.11,437.55
P00547,245.92,843.83,197.38,830.73
P0A8I3,772.14,612.87,767.27,658.98
P0A794,917.87,600.92,763.68,672.75
P25714,1057.13,503.84,1370.71,811.54
P0ADT5,427.66,270.96,550.44,744.77
P77499,127.48,289.42,135.44,309.73
P12996,111.20,346.38,168.51,742.85
P22524,722.65,442.42,821.46,487.44
P07862,543.44,373.17,630.72,505.57
P37329,1394.67,637.75,1275.34,801.41
P10384,1809.87,349.66,2371.61,591.65
P0AG93,531.51,258.71,1188.79,1020.16
P0A7A2,463.16,321.77,610.62,440.10
P37349,227.47,238.03,285.41,211.83
P17117,743.46,284.68,927.63,294.12
P37634,451.35,276.07,708.28,316.60
P75876,449.75,299.97,517.29,349.50
P0ADI4,65.21,207.22,95.09,366.11
P77735,135.36,91.24,95.61,100.75
P37313,164.48,391.62,65.25,570.53
P0A6C1,337.55,212.65,389.83,297.50
P0A8F4,382.64,236.37,506.78,313.97
P0A6V1,126.23,168.44,76.25,182.29
P05852,334.60,188.03,337.75,228.77
P0A9C9,505.42,188.30,315.64,170.04
P13445,995.06,166.26,53.85,45.85
P37626,334.28,180.15,199.27,96.64
P0A9S7,12.22,194.06,20.02,282.47
P13024,504.36,137.14,549.14,162.57
P33030,203.65,96.05,388.07,160.27
P0A6U3,166.83,106.80,225.17,159.07
P20083,177.59,62.32,202.25,135.05
P60293,130.60,59.28,158.28,81.34
P39401,106.82,62.39,117.12,100.85
P0A8F8,50.06,41.56,55.61,36.72
P75937,1935.34,841.37,2195.66,960.19
P77611,82.16,45.89,122.52,82.17
P62558,52.43,52.09,829.11,657.30
P0AEM6,1399.87,1084.48,1039.35,1537.68
P0A7E3,48.59,38.31,571.40,567.73
P07604,51.33,30.42,58.66,50.71
P0AEC3,73.14,40.03,59.98,37.02
P02918,24.90,13.98,77.22,71.35
P43329,21.54,11.60,42.76,21.91
P0AAG8,124.47,8.13,79.58,29.54
P0AA10,53283.61,29578.14,68967.84,38655.19
P0A862,32210.70,29900.16,31007.95,34450.00
P0A763,15546.08,10559.93,20594.49,19037.48
P0A7M2,14118.15,8486.38,22489.51,15211.83
P61714,10850.58,9339.08,11740.42,10482.23
P0ABA0,10726.06,7005.07,12830.85,8437.35
P0AGK8,7445.86,5468.01,6644.48,13102.07
P69828,12276.77,4952.02,107.20,190.14
P0A7K6,12402.24,5981.93,24354.96,13160.90
P30126,205.07,6487.32,341.00,9202.35
P61517,2867.28,5015.24,3408.62,5875.08
P0A6Y1,3379.04,3161.74,3159.59,2564.06
P0AAI9,5551.01,2891.02,6373.80,2979.61
P0A908,4810.62,2791.37,7206.58,2840.19
P0ABD8,4769.60,2822.43,5727.09,3752.48
P0A9R4,6075.25,2731.90,5197.11,3135.29
P0ACY1,1973.52,2090.61,1931.36,1692.47
P77395,3601.56,2389.95,2630.61,2728.85
P39173,2536.38,2453.96,1826.67,1902.18
P0AF12,3054.48,2269.34,3301.23,2711.84
